,ANO,COMBUSTÍVEL,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,TOTAL
26,2003,GASOLINA DE AVIAÇÃO (m3),7613.333,6828.9349999999995,7589.403,7442.456,15881.477,9800.041,5845.242,9804.909,9529.57,16119.15,9768.58,6435.255,5135.2429999999995
27,2003,GLP (m3),4012540.038181817,1770429.5727272723,1414233.2199999995,1967236.24,1207643.1818181814,1248533.6036363645,1754385.8581818182,1276821.5454545447,1076784.9854545456,1724265.5363636373,2208668.6381818177,1360351.2181818183,1850279.4054545462
28,2003,QUEROSENE DE AVIAÇÃO (m3),495447.385,612564.012,343710.724,657017.7829999999,419042.848,426009.864,817103.6,2083301.5760000001,450239.392,364750.34500000003,518428.235,410732.546,346455.574
29,2003,QUEROSENE ILUMINANTE (m3),24521.652000000002,21216.054,24773.958,19496.018,15045.959,15353.060000000001,12198.844000000001,15879.778,26237.973,41624.32,14037.648,22196.317,102205.33499999999
30,2003,ÓLEO COMBUSTÍVEL (m3),802746.1734693883,526644.1520408161,546193.945918367,815717.5326530609,560414.8234693876,566663.5581632653,1285860.0244897953,1280563.294897959,1424152.9887755096,688439.3387755099,2241947.932653057,976241.7602040827,685126.4418367343
31,2003,ÓLEO DIESEL (m3),4764209.348,5145002.073,11625415.029000001,6680999.777,4710748.684,5854108.077,4218906.507,5048292.084,5140367.534,4309966.383,3567128.928,5318020.798,7323341.9520000005
32,2004,ETANOL HIDRATADO (m3),486792.133,370183.978,446865.43100000004,774144.213,431792.858,507107.626,2533769.4110000003,855003.287,514791.556,581692.684,456715.426,463707.946,603285.541
33,2004,GASOLINA C (m3),4214048.353,2491880.49,2500090.199,3294329.0100000002,2859792.366,2093210.963,3119407.733,4289818.602,2644985.489,3718458.68,8210223.765,3625624.402,3285887.1520000002
34,2004,GASOLINA DE AVIAÇÃO (m3),5823.497,9084.748,6967.889,7529.874,6026.92,18033.121,10733.063,5814.758,12118.704,8283.552,14898.706,10574.296,6965.006
35,2004,GLP (m3),1884254.8054545452,4052117.3672727267,1822122.6236363633,1446253.1327272735,2027826.483636363,1253245.2927272723,1290032.558181818,1805924.0654545464,1306367.7200000007,1099078.0818181813,1777362.892727272,2255814.6127272765,1395915.632727272
36,2004,QUEROSENE DE AVIAÇÃO (m3),375774.599,525326.014,640320.662,369307.248,703965.54,437790.107,470476.209,890971.527,2162840.178,457209.584,393263.566,557188.78,434368.41599999997
37,2004,QUEROSENE ILUMINANTE (m3),47121.727999999996,17450.732,12842.306,18161.498,19408.496,8160.144,10460.519,13855.172999999999,11255.974,16129.502,28191.28,12406.334,16565.97
38,2004,ÓLEO COMBUSTÍVEL (m3),626937.472448979,706009.7153061221,434533.80000000016,451737.37244898,778092.870408163,485408.7928571435,458390.83469387726,1216468.6785714286,1167405.725510204,1243097.2969387758,559563.8653061232,1889565.6765306112,807451.3683673479
39,2004,ÓLEO DIESEL (m3),7963721.927,5069024.7870000005,5288508.528000001,12182113.658000002,7021026.2360000005,4982246.781,6243673.4799999995,4544448.574,5472840.438,5478857.065,4546582.174,3770839.493,5887466.091
40,2005,ETANOL HIDRATADO (m3),609920.699,479824.30700000003,416926.97000000003,505387.174,763213.527,462974.26900000003,594034.02,2605715.942,852203.679,532673.731,574691.537,457678.48799999995,479201.39499999996
41,2005,GASOLINA C (m3),3345336.973,4196846.417,2502983.69,2576771.732,3386432.5519999997,2860104.52,2159368.147,3178111.847,4349681.66,2708804.917,3633613.161,8451900.790000001,3757023.704
42,2005,GASOLINA DE AVIAÇÃO (m3),6138.093,4935.206,7276.642,6576.328,7827.557000000001,6058.57,20720.240999999998,8425.45,5603.619,8546.322,7496.898,12119.873000000001,9202.609
43,2005,GLP (m3),1406605.958181818,1874996.8545454536,3964773.065454549,1839434.4418181814,1446610.3109090906,2006902.9181818182,1235844.6018181823,1279700.096363635,1791693.2781818171,1300359.0072727269,1098608.0854545452,1778440.3109090906,2253213.085454546
44,2005,QUEROSENE DE AVIAÇÃO (m3),454931.912,393561.501,549571.607,650001.6410000001,392857.341,710430.141,479560.126,476903.62799999997,979411.3089999999,2281745.253,489948.70499999996,406834.869,593192.959
45,2005,QUEROSENE ILUMINANTE (m3),6759.854,15304.31,11097.497,13428.615000000002,10895.292,7485.979,5528.496,7089.738,4783.905,4984.367,9882.451000000001,13886.241999999998,6411.3820000000005
46,2005,ÓLEO COMBUSTÍVEL (m3),797235.7683673468,607736.6897959181,685356.6489795921,444411.031632653,448468.3897959186,777766.0071428564,470486.74591836706,440129.06836734735,1149568.5071428567,1176866.942857142,1408988.2714285718,529490.2163265308,1537945.1877551028
47,2005,ÓLEO DIESEL (m3),5989020.414,8078808.219,5103936.523,5354755.862,12133540.316000002,7021956.733,5048101.496,5995135.23,4430748.052,5214686.04,5567182.825,4593493.379,3802944.315
48,2006,ETANOL HIDRATADO (m3),598429.918,815355.2640000001,627668.3030000001,550565.841,651976.006,890174.485,608489.703,803823.636,3975916.2490000003,972684.643,674092.445,665776.419,538152.72
49,2006,GASOLINA C (m3),3751951.285,3526809.836,4243542.686,2556912.5840000003,2628751.299,3384736.063,2950738.212,2200870.347,3254162.6780000003,4516192.89,2810593.1939999997,3606537.159,8583468.725
50,2006,GASOLINA DE AVIAÇÃO (m3),8200.856,5061.78,4730.8949999999995,7046.633,6426.601,6575.446,5820.559,21579.322,9247.03,5887.504,8050.177000000001,6908.4310000000005,8989.142
51,2006,GLP (m3),2254608.789090906,1440302.825454546,1870102.916363637,3987415.2381818183,1855537.5963636362,1452057.2745454542,2036201.8109090915,1262107.5599999996,1314562.445454546,1836464.2109090902,1328152.9836363636,1123432.7090909097,1805315.5236363644
52,2006,QUEROSENE DE AVIAÇÃO (m3),634871.465,466817.944,416400.385,562507.82,635359.059,375748.565,726547.176,489582.94299999997,484226.79199999996,974536.532,2197135.823,528348.318,439841.246
53,2006,QUEROSENE ILUMINANTE (m3),3663.836,4056.0440000000003,9218.991,7776.16,11062.321,9095.015,4129.202,4285.552,5349.927,3504.009,4435.405,7650.487,10245.491
54,2006,ÓLEO COMBUSTÍVEL (m3),1159060.497959184,738020.7418367348,579905.5938775508,678788.0275510201,455949.5785714287,450848.13877551025,780407.2979591837,460138.7653061224,446905.0897959185,1371157.7744897956,1058043.2918367346,1642200.3418367342,431812.45408163284
55,2006,ÓLEO DIESEL (m3),3705778.285,5840132.036,8206376.692,5282589.917,5301998.149,12075772.26,6991470.473999999,4984755.074,6067836.522,4347360.912,5025611.274,5593622.75,4593490.647
56,2007,ETANOL HIDRATADO (m3),881196.3652457551,890998.53764111,1283789.2204149063,966738.6322239696,823401.6876554694,984102.5563820848,1436850.337192001,958993.5763779465,1238880.973431539,5908621.789629504,1397580.173332144,916897.1414343159,1045620.4130392602
57,2007,GASOLINA C (m3),8746253.865555704,3794444.344711346,3428134.7905955208,4342783.197570115,2564248.9597929777,2624985.9786948045,3409033.516364926,3010214.311565413,2247908.6460558954,3258770.8888649005,4695050.6555071585,2903408.124406505,3625659.984314734
58,2007,GASOLINA DE AVIAÇÃO (m3),12157.221944215235,9495.508745228362,5946.3671690312885,5274.559627801941,7309.772861300548,7155.499920560754,7148.997285305044,5789.865901219038,15534.047373533891,8985.632762717987,6271.277690753495,9875.48231249107,8543.272405841373
59,2007,GLP (m3),1867568.687741404,2262973.347236047,1487294.5950316796,1957387.6980740288,4021908.3849081737,1906298.9021805446,1485661.7725582458,2084260.707369142,1276127.7560546522,1338862.4075128343,1872059.976093046,1363071.0756774002,1144886.3018816432
60,2007,QUEROSENE DE AVIAÇÃO (m3),461986.996,659862.8389999999,503455.472,448625.042,626610.3099999999,715788.842,433861.257,796416.09,552463.965,551699.1479999999,1110745.3569999998,2367201.813,552476.379
61,2007,QUEROSENE ILUMINANTE (m3),8186.772797890533,3199.214027233497,3982.528822775803,7084.141373573675,5608.38538746413,5998.265320850678,6148.630036522203,3295.586306769403,3035.5047915703626,3685.3933905643075,2838.7520404548513,2699.1731233221153,5580.450581008438
62,2007,ÓLEO COMBUSTÍVEL (m3),494384.407913576,1137281.8077468805,793745.8027276819,576073.7846928202,655706.7895012777,475363.71121333924,491271.4003904995,857334.151848979,491061.76224694325,484742.5208492912,1738715.8738656316,1149681.8160193253,1704752.3249837535
