ANO,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,TOTAL
2013,8021001.706,7818515.331,6937345.693,8141449.068,9221813.417,10680277.121,9732656.31,13910746.769,13038680.118,7420718.1790000005,6975752.949,7434102.796,7811930.711
2014,10791305.324,8314149.259,8435372.002,7002385.376,8720958.086,8819768.67,6421488.919,6333933.515,9056208.908,12294518.521,8540808.443,10231671.672,15100666.483000001
2015,8721178.284,11288367.461,8130125.256,10019783.577,14410808.879999999,10315396.636,7779498.629,8039083.256,6710382.224,8406388.183,8245682.631,6193951.488,6161094.239
2016,6380398.986,8215137.85,7241040.074,5774094.142,5992687.975000001,8314032.377,10572308.0,7479153.12,9650965.34,13711120.787,9794665.923,7643843.959,7787691.613
2017,9867257.187750516,13673802.530460862,9772368.865254654,7675842.95245414,7730211.524607622,6317652.877548391,8583310.527426377,7221500.189004463,5838324.853385036,6151729.433050717,8619752.354378164,10573617.491237981,7519214.659441068
2018,5960489.336,6359817.899,8904576.519,10369878.102,7720173.154999999,10314345.972000001,13760842.493,9890388.638,7720057.445,7763979.247,6611105.182,8777689.996,7105542.414
2019,8042935.193,7598270.744,7213345.615,8901077.644,7230151.629,5989389.519,6790842.643999999,9402469.681,10514708.265,7779584.525,11370632.827,13733626.903,10029860.259
2020,6901253.755,4744263.755,8183724.499,10065632.61,7571697.433,6138766.821,5826318.011,6039052.183,7256541.372,5805652.859,4413959.13,5086991.589,6669729.191
